name,halal_status,source
 149 CAFE @ FMC TECHNOLOGIES (MNGD BY THE WOK PEOPLE),halal,singapore halal directory
 1983 A TASTE OF NANYANG,halal,singapore halal directory
 1983 A TASTE OF NANYANG (JEM),halal,singapore halal directory
 1983 A TASTE OF NANYANG (REPUBLIC POLYTECHNIC),halal,singapore halal directory
 1983 CAFE NANYANG,halal,singapore halal directory
 1983 COFFEE & TOAST,halal,singapore halal directory
 1983 COFFEE & TOAST (CHANGI GENERAL HOSPITAL),halal,singapore halal directory
 1983 COFFEE & TOAST (FAIRPRICE HUB),halal,singapore halal directory
 1983 COFFEE & TOAST (JURONG COMMUNITY HOSPITAL),halal,singapore halal directory
 1983 COFFEE & TOAST (MARINA BOULEVARD),halal,singapore halal directory
 1983 COFFEE & TOAST (SMU),halal,singapore halal directory
 1M KITCHEN @ GRAND HYATT SINGAPORE,halal,singapore halal directory
 21 ON RAJAH,halal,singapore halal directory
 277 WESTERN FOOD (S3) @ MR TEH TARIK EATING HOUSE,halal,singapore halal directory
 3 KAYS PTE LTD,halal,singapore halal directory
 4 FINGERS CRISPY CHICKEN,halal,singapore halal directory
 4 FINGERS CRISPY CHICKEN (CHANGI AIRPORT TERMINAL 1),halal,singapore halal directory
 4 FINGERS CRISPY CHICKEN (ION ORCHARD),halal,singapore halal directory
 4 FINGERS CRISPY CHICKEN (JURONG POINT),halal,singapore halal directory
 4 FINGERS CRISPY CHICKEN (MARINE SQUARE),halal,singapore halal directory
 4 FINGERS CRISPY CHICKEN (NORTHPOINT SHOPPING CENTRE),halal,singapore halal directory
 4 FINGERS CRISPY CHICKEN (ORCHARD RD),halal,singapore halal directory
 4 FINGERS CRISPY CHICKEN (PLAZA SINGAPURA),halal,singapore halal directory
 4 FINGERS CRISPY CHICKEN (TAMPINES),halal,singapore halal directory
 4 FINGERS CRISPY CHICKEN (TIONG BAHRU PLAZA),halal,singapore halal directory
 4 FINGERS CRISPY CHICKEN (WESTGATE),halal,singapore halal directory
 498 YONG TAU FOO (S7) @ 7 STARS,halal,singapore halal directory
 7 DAYS,halal,singapore halal directory
 7 ELEVEN SINGAPORE,halal,singapore halal directory
 A P NUTRIPHARM PTE LTD,halal,singapore halal directory
 A&J (S17)@MAKAN PLACE,halal,singapore halal directory
 A.AMEER FRESH & FROZEN FOOD (STALL 40),halal,singapore halal directory
 AALST CHOCOLATE PTE LTD,halal,singapore halal directory
 ABBOTT MANUFACTURING SINGAPORE PTE LTD,halal,singapore halal directory
 ABC VEGETARIAN FOOD PTE LTD,halal,singapore halal directory
 ABM RESTAURANTS PTE LTD,halal,singapore halal directory
 ABR HOLDINGS LIMITED,halal,singapore halal directory
 ADEKA (SINGAPORE) PTE LTD,halal,singapore halal directory
 AFTERWIT MEXICAN TAQUERIA,halal,singapore halal directory
 AH DONG TEH HOUSE CHA CAN TING,halal,singapore halal directory
 AH HUAT,halal,singapore halal directory
 AH MEI PRATA,halal,singapore halal directory
 AH MENG BISTRO,halal,singapore halal directory
 AH MENG KITCHEN,halal,singapore halal directory
 AH MENG RESTAURANT @ SINGAPORE ZOOLOGICAL GARDENS,halal,singapore halal directory
 AH PENG FISH FOOD SUPPLIER PTE LTD,halal,singapore halal directory
 AIK MOH PAINTS & CHEMICALS PTE LTD,halal,singapore halal directory
 AIMAN SEAFOOD BBQ (S75)@KOPITIAM LAU PASAT (STALL 75),halal,singapore halal directory
 AIR LIQUIDE SINGAPORE PRIVATE LIMITED,halal,singapore halal directory
 AIR-CON ROOM 2 RACK 1 - 2 @ WAREHOUSE LOGISTICS NET ASIA PTE LTD,halal,singapore halal directory
